"","Location.Code","Location.Name","Latitude","Longitude"
"1","0701","Chatham-Kent, Ontario, Canada",42.405207,-82.191467
"2","0703","Mississauga, Algoma District, Ontario, Canada",46.1939009,-83.0110297
"3","1001","Charlotte, Mecklenburg County, North Carolina, United States of America",35.2270869,-80.8431268
"4","1002","Mount Vernon, Jefferson County, Illinois, 62864, United States of America",38.3172715,-88.9031201
"5","1003","Barnesville, Lamar County, Georgia, 30204, United States of America",26.3171308,33.0545709
"6","1004","The Palace of Auburn Hills, Championship Drive, Oakland County, Michigan, 48326, United States of America",39.28810415,42.69706755
"7","1005","Culpeper, Culpeper County, Virginia, 22701, United States of America",38.4733823,-77.9961275
"8","1006","Fletcher, Henderson County, North Carolina, 28732, United States of America",35.4306712,-82.5012316
"9","1007","The Palace of Auburn Hills, Championship Drive, Oakland County, Michigan, 48326, United States of America",39.28810415,42.69706755
"10","1008","Somersworth, Strafford County, New Hampshire, United States of America",43.262206,-70.86525
"11","1009","Deer Park, Lake County, Illinois, United States of America",42.1608585,-88.0814651
"12","1010",NA,NA,NA
"13","1011","Morganton, Burke County, North Carolina, 28655, United States of America",35.7454376,-81.6870994
"14","1012",NA,NA,NA
"15","1013",NA,NA,NA
"16","1014",NA,NA,NA
"17","1015","Seguin, Guadalupe County, Texas, United States of America",29.5688411,-97.9647269
"18","1016","Allentown, Lehigh County, Pennsylvania, United States of America",40.6022059,-75.4712794
"19","1017",NA,NA,NA
"20","1018","The Palace of Auburn Hills, Championship Drive, Oakland County, Michigan, 48326, United States of America",39.28810415,42.69706755
"21","1019","The Palace of Auburn Hills, Championship Drive, Oakland County, Michigan, 48326, United States of America",39.28810415,42.69706755
"22","1021","Santa Teresa, Rio Arriba County, New Mexico, United States of America",36.1533504,-106.6794817
"23","1022",NA,NA,NA
"24","1023","Newport News, Newport News City, Virginia, United States of America",36.9786449,-76.4321089
"25","1024",NA,NA,NA
"26","1025",NA,NA,NA
"27","1026",NA,NA,NA
"28","1027",NA,NA,NA
"29","1028",NA,NA,NA
"30","1029",NA,NA,NA
"31","1030",NA,NA,NA
"32","1031",NA,NA,NA
"33","1032","Troy, Oakland County, Michigan, United States of America",42.6055893,-83.1499304
"34","1033",NA,NA,NA
"35","1034","Houston, Harris County, Texas, 77002, United States of America",29.7589382,-95.3676974
"36","1035","Montvale, Bergen County, New Jersey, 07645, United States of America",41.0467635,-74.0229173
"37","1036",NA,NA,NA
"38","1037",NA,NA,NA
"39","1038",NA,NA,NA
"40","1039",NA,NA,NA
"41","1042","Dearborn, Wayne County, Michigan, United States of America",42.3222599,-83.1763145
"42","1043","Dearborn, Wayne County, Michigan, United States of America",42.3222599,-83.1763145
"43","1044",NA,NA,NA
"44","1045","Tucson, Pima County, Arizona, United States of America",32.2218917,-110.9262353
"45","1047","Sumter, Sumter County, South Carolina, United States of America",33.9204354,-80.3414693
"46","1049",NA,NA,NA
"47","1050","Rochester, Oakland County, Michigan, United States of America",42.680588,-83.1338214
"48","1051",NA,NA,NA
"49","1052","Halstead, Harvey County, Kansas, 67056, United States of America",38.0014004,-97.5086518
"50","1053",NA,NA,NA
"51","1055","Phoenix, Maricopa County, Arizona, United States of America",33.4485866,-112.0773456
"52","1056","Memphis, Shelby County, Tennessee, United States of America",35.1490215,-90.0516285
"53","1057","Detroit, Wayne County, Michigan, United States of America",42.3486635,-83.0567375
"54","1059","Uvalde, Uvalde County, Texas, 78801, United States of America",29.2096836,-99.7861679
"55","1060","Fort Mill, York County, South Carolina, 29715, United States of America",35.0073697,-80.9450759
