,Unnamed: 0_1,Personnel.Number,Gender,Hire.Date,Exit.Date,Exit.Reason,Cost.Center,Employee.Group,Employee.Subgroup,Location.Code,Employment.Days,Currently.Employed,Lasted.6.Months,Lasted.1.Year,Lasted.2.Years,Lasted.3.Years,Lasted.4.Years,Lasted.5.Years,Unnamed: 0_2,Location.Name,Latitude,Longitude
0,103,60000185,Male,2016-01-18,,,101-3980,Employee,Salary Grade 12,0701,,True,True,True,True,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
1,233,60000545,Male,2016-02-01,,,101-2461,Employee,Salary Grade Less 12,0701,,True,True,True,True,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
2,400,60001196,Male,1975-06-03,,,101-3484,Employee,Salary Grade Less 12,0701,,True,True,True,True,True,True,True,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
3,448,60001314,Male,2016-03-21,,,101-2785,Employee,Salary Grade Less 12,0701,,True,True,True,True,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
4,617,60001969,Female,2016-05-02,,,101-2875,Employee,Salary Grade Less 12,0701,,True,True,True,,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
5,619,60001971,Male,2016-05-02,,,101-2770,Employee,Nonexempt,0701,,True,True,True,,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
6,620,60001972,Male,2016-05-02,,,101-2770,Employee,Nonexempt,0701,,True,True,True,,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
7,690,60002172,Male,2016-05-16,,,101-2785,Employee,Salary Grade Less 12,0701,,True,True,True,,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
8,695,60002182,Male,2016-06-06,,,101-2785,Employee,Salary Grade Less 12,0701,,True,True,True,,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
9,726,60002320,Male,1996-12-11,,,101-3980,Employee,Salary Grade 12,0701,,True,True,True,True,True,True,True,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
10,937,60002965,Female,2016-06-27,,,101-2785,Employee,Salary Grade Less 12,0701,,True,True,True,,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
11,1161,60003655,Male,2016-08-15,,,101-2780,Employee,Salary Grade Less 12,0701,,True,True,True,,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
12,1163,60003657,Male,2016-08-15,,,101-2790,Employee,Salary Grade Less 12,0701,,True,True,True,,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
13,1251,60003927,Male,2016-09-06,,,101-2785,Employee,Salary Grade Less 12,0701,,True,True,True,,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
14,1296,60004097,Female,2016-09-19,,,101-2770,Employee,Nonexempt,0701,,True,True,True,,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
15,1354,60004307,Male,2016-10-03,,,101-2780,Employee,Salary Grade Less 12,0701,,True,True,True,,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
16,1892,60005470,Male,2016-12-05,,,101-2484,Employee,Salary Grade Less 12,0701,,True,True,True,,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
17,2051,60006008,Male,2017-02-06,,,101-2927,Employee,Salary Grade Less 12,0701,,True,True,True,,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
18,2146,60006282,Male,2017-09-05,,,101-2785,Employee,Salary Grade Less 12,0701,,True,True,,,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
19,2247,60006554,Male,2017-04-03,,,101-2790,Employee,Salary Grade Less 12,0701,,True,True,,,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
20,2261,60006582,Male,2017-04-03,,,101-3484,Employee,Salary Grade Less 12,0701,,True,True,,,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
21,2262,60006583,Male,2017-04-10,,,101-2785,Employee,Salary Grade Less 12,0701,,True,True,,,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
22,2471,60007098,Male,2017-05-01,,,101-2770,Employee,Nonexempt,0701,,True,True,,,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
23,2540,60007268,Female,2017-05-15,,,101-2770,Employee,Nonexempt,0701,,True,True,,,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
24,2973,60008544,Male,2017-07-24,,,101-3980,Employee,Salary Grade Less 12,0701,,True,True,,,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
25,3158,60009083,Female,2017-09-11,,,100-1224,Employee,Salary Grade Less 12,0701,,True,True,,,,,,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
26,5992,60044462,Male,2010-07-12,,,101-2779,Employee,Nonexempt,0701,,True,True,True,True,True,True,True,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
27,6068,60044625,Male,2010-09-13,,,101-2770,Employee,Nonexempt,0701,,True,True,True,True,True,True,True,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
28,6080,60044656,Female,2007-06-18,,,101-2950,Employee,Executive,0701,,True,True,True,True,True,True,True,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
29,6116,60044743,Male,2010-11-01,,,101-2770,Employee,Nonexempt,0701,,True,True,True,True,True,True,True,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
30,6236,60045057,Male,2011-03-01,,,101-2784,Employee,Nonexempt,0701,,True,True,True,True,True,True,True,1,"Chatham-Kent, Ontario, Canada",42.405207,-82.191467
