"","Personnel.Number","Gender","Hire.Date","Exit.Date","Exit.Reason","Cost.Center","Employee.Group","Employee.Subgroup","Location.Code","Employment.Days","Currently.Employed","Lasted.6.Months","Lasted.1.Year","Lasted.2.Years","Lasted.3.Years","Lasted.4.Years","Lasted.5.Years"
"1","60000003","Male",1976-08-01,NA,NA,"98051","Employee","Salary Grade 12","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2","60000005","Male",2016-01-01,NA,NA,"98053","Employee","Hourly","1028",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"3","60000006","Male",1996-01-02,NA,NA,"98053","Employee","Salary Grade Less 12","1028",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4","60000007","Male",1989-09-04,NA,NA,"98052","Employee","Salary Grade 12","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"5","60000008","Female",2005-11-03,NA,NA,"98052","Employee","Hourly","1026",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6","60000009","Male",2013-10-09,NA,NA,"98651","Employee","Hourly","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
"7","60000010","Male",2011-04-14,NA,NA,"98052","Employee","Salary Grade Less 12","1026",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"8","60000011","Male",2014-10-27,NA,NA,"98653","Employee","Hourly","1028",NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
"9","60000012","Male",2010-04-01,NA,NA,"98053","Employee","Salary Grade Less 12","1028",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"10","60000013","Male",2011-07-21,NA,NA,"98053","Employee","Hourly","1028",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"11","60000014","Male",2004-04-23,NA,NA,"98052","Employee","Salary Grade Less 12","1026",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
